ewc_loss,kl_loss,win_rate_nobomb,win_rate_simple
[[2.2434913e-05]],0.03994466,,
[[1.7121227e-05]],0.039149832,,
[[0.00084749]],0.038561758,,
[[8.520965e-05]],0.031584345,,
[[0.00019374]],0.038344752,,
[[0.00033922]],0.033276495,,
[[0.00096361]],0.029830735,,
[[4.978194e-06]],0.033204064,,
[[4.053627e-05]],0.035493515,,
[[2.3770275e-05]],0.03557887,,
[[3.0177704e-05]],0.036369406,,
[[0.00035502]],0.03764376,,
,,0.8,0.86
[[1.0019786e-05]],0.03181355,,
[[0.00102333]],0.03879056,,
[[8.09412e-05]],0.030173266,,
[[6.0537008e-05]],0.027104769,,
[[0.00122931]],0.03441601,,
[[0.00022753]],0.045049332,,
[[3.405083e-05]],0.03813967,,
[[0.00014134]],0.03359932,,
[[5.8239213e-05]],0.04012758,,
[[0.00122534]],0.040571354,,
[[9.9870835e-05]],0.03212221,,
[[0.00023893]],0.0345739,,
[[3.6941437e-05]],0.039795876,,
[[0.00147408]],0.032039467,,
[[2.9871153e-05]],0.033988144,,
[[0.00021767]],0.03485938,,
,,0.86,0.92
[[0.00014448]],0.040186707,,
[[0.000761]],0.04175116,,
[[1.195611e-05]],0.028626828,,
[[0.0020897]],0.03212213,,
[[9.91971e-06]],0.040164415,,
[[9.73673e-05]],0.04242012,,
[[4.383004e-06]],0.034702603,,
[[0.00147129]],0.033191238,,
[[0.00034137]],0.034407858,,
[[0.00053356]],0.031230057,,
[[0.00036882]],0.03544435,,
[[0.00020006]],0.029884346,,
[[0.00052886]],0.035057634,,
[[1.1020377e-05]],0.031816587,,
[[0.00036042]],0.036737967,,
[[0.00013338]],0.035967752,,
,,0.82,0.86
[[0.00030016]],0.035297222,,
[[3.077173e-05]],0.033837233,,
[[3.9902112e-05]],0.031200003,,
[[0.00037822]],0.037031867,,
[[0.00045934]],0.031900104,,
[[2.9536557e-05]],0.040657535,,
[[4.2060576e-05]],0.034982882,,
[[0.00145015]],0.04297276,,
[[7.3893834e-06]],0.047832843,,
[[0.00012569]],0.037192084,,
[[0.00219702]],0.0334958,,
[[1.4881435e-05]],0.036473416,,
[[0.00020026]],0.038323093,,
[[0.00023683]],0.032652434,,
[[1.02889535e-05]],0.040759984,,
[[0.00020619]],0.035420153,,
,,0.8,0.84
[[9.777829e-06]],0.035925396,,
[[2.3240858e-05]],0.041208435,,
[[0.00026505]],0.03503939,,
[[0.00037755]],0.032653123,,
[[1.9072379e-05]],0.032480888,,
[[6.388648e-05]],0.038111214,,
[[0.00036752]],0.033260662,,
[[0.00013026]],0.030090917,,
[[4.4482906e-05]],0.03693903,,
[[5.4937376e-05]],0.048254322,,
[[0.00084255]],0.033736933,,
[[6.927938e-05]],0.03484697,,
[[2.7286912e-06]],0.032612626,,
[[0.00016822]],0.03253174,,
[[6.6934124e-05]],0.029944966,,
[[0.00055515]],0.043134626,,
,,0.84,0.86
[[8.4186184e-05]],0.030571105,,
[[5.4173244e-05]],0.03566289,,
[[0.00048499]],0.036640044,,
[[3.3989294e-05]],0.038345646,,
[[9.91367e-05]],0.033223696,,
[[0.00025221]],0.03843231,,
[[0.00016239]],0.03333051,,
[[0.00013438]],0.039827816,,
[[0.00131859]],0.027237179,,
[[4.63739e-06]],0.035293866,,
[[0.00011064]],0.03424656,,
[[0.00067141]],0.029029312,,
[[8.3337596e-05]],0.03412265,,
[[5.7338344e-05]],0.033342224,,
[[0.00011534]],0.027123982,,
[[0.00078043]],0.029494276,,
,,0.76,0.86
[[3.4926627e-05]],0.033871267,,
[[6.2387626e-05]],0.032533992,,
[[0.00032455]],0.032171417,,
[[0.00019453]],0.026675647,,
[[0.00023068]],0.033926893,,
[[0.00011322]],0.031224398,,
