bc_loss,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss,lose_rate,tie_rate,win_rate
1.473042607307434,-1367.189697265625,1171,8370,1.2010905742645264,1339200,0.021374789997935295,,,
4.11663818359375,-23.754411697387695,1171,8380,0.44490423798561096,1340800,0.0061254920437932014,,,
0.2751814126968384,-2402.369873046875,1171,8390,0.4995851516723633,1342400,0.049741052091121674,,,
2.089862823486328,-116.32372283935547,1171,8400,1.4018675088882446,1344000,0.00024293804017361253,,,
1.5857361555099487,-721.7656860351562,1171,8410,1.6440773010253906,1345600,0.010089120827615261,,,
1.7096847295761108,-57.50450897216797,1171,8420,1.6862156391143799,1347200,0.0011550734052434564,,,
0.6062867045402527,-185.8785400390625,1171,8430,1.2967376708984375,1348800,0.008305850438773632,,,
0.9243698120117188,-286.9103698730469,1171,8440,1.366821050643921,1350400,0.015603861771523952,,,
2.934479236602783,-13.30990982055664,1171,8450,1.1423232555389404,1352000,0.0002562773588579148,,,
1.5841310024261475,-7.199062347412109,1171,8460,1.6487537622451782,1353600,0.0005222727195359766,,,
0.6469065546989441,-1029.7225341796875,1172,8470,1.0316870212554932,1355200,0.003134489059448242,,,
0.6781076192855835,-64.58491516113281,1172,8480,1.2287960052490234,1356800,0.004842271097004414,,,
1.0947552919387817,0.35321247577667236,1172,8490,1.3573501110076904,1358400,0.3778022229671478,,,
2.5402724742889404,-1376.404541015625,1172,8500,0.947823166847229,1360000,0.015570485964417458,,,
1.7266252040863037,-3.476019859313965,1172,8510,1.6791059970855713,1361600,0.000485558615764603,,,
1.3274441957473755,-6627.77001953125,1172,8520,1.0969949960708618,1363200,0.006498101633042097,,,
1.2341598272323608,-6208.03125,1172,8530,1.523087739944458,1364800,0.023521585389971733,,,
2.4681601524353027,-2092.5400390625,1172,8540,1.0093554258346558,1366400,0.013087250292301178,,,
1.6365982294082642,-307.2189025878906,1172,8550,1.3093440532684326,1368000,0.0014195787953212857,,,
1.2347862720489502,-9.185220718383789,1172,8560,1.5569751262664795,1369600,0.00016793143004179,,,
1.641626000404358,-29.902631759643555,1172,8570,1.7367817163467407,1371200,0.0010922851506620646,,,
1.8466331958770752,-0.023820161819458008,1172,8580,1.6995782852172852,1372800,7.898352487245575e-05,,,
2.0851547718048096,-357.045166015625,1172,8590,1.4531824588775635,1374400,0.006203883793205023,,,
1.7487964630126953,-20.662784576416016,1172,8600,1.7630932331085205,1376000,0.000817484688013792,,,
1.2500982284545898,-181.30955505371094,1172,8610,0.6333059072494507,1377600,0.0027487261686474085,,,
1.5548452138900757,-75.83258819580078,1172,8620,1.4598300457000732,1379200,0.003707996103912592,,,
1.816729187965393,-45.91495895385742,1172,8630,1.640247106552124,1380800,0.0018541024764999747,,,
0.31949958205223083,-25.73569107055664,1172,8640,0.6743066906929016,1382400,0.008812451735138893,,,
0.04869120195508003,-1.2081382274627686,1172,8650,0.2514978051185608,1384000,0.004677435848861933,,,
0.18673411011695862,-19.99791717529297,1172,8660,0.6485553979873657,1385600,0.006305352784693241,,,
1.7660900354385376,-2.9778478145599365,1172,8670,1.6268227100372314,1387200,0.00029702435131184757,,,
0.02209736965596676,-68.50304412841797,1172,8680,0.1146896630525589,1388800,0.0006720767705701292,,,
2.0824713706970215,-3591.530517578125,1172,8690,1.2451214790344238,1390400,0.10712378472089767,,,
1.7586618661880493,-30.412391662597656,1172,8700,1.648675560951233,1392000,0.00025338135310448706,,,
1.3825324773788452,-319.4065856933594,1172,8710,1.3288335800170898,1393600,0.013183859176933765,,,
0.01393869984894991,-330.1144714355469,1173,8720,0.09244775772094727,1395200,0.010526468977332115,,,
2.8005192279815674,-359.7464904785156,1173,8730,1.0475516319274902,1396800,0.005553639959543943,,,
1.3470474481582642,-536.4515380859375,1173,8740,1.2805099487304688,1398400,0.006767016835510731,,,
