ewc_loss,kl_loss,win_rate_nobomb,win_rate_simple,win_rate_static_3
2.012177e-05,0.0433664,,,
,,0.74,0.22,0.0
2.0677695e-05,0.037324313,,,
1.810008e-05,0.042771764,,,
1.9986854e-05,0.030770205,,,
1.7766062e-05,0.036411934,,,
1.989241e-05,0.04284673,,,
1.9461499e-05,0.036266886,,,
2.0307853e-05,0.041498933,,,
1.9108284e-05,0.032952942,,,
1.9113093e-05,0.04653295,,,
1.9470564e-05,0.045261044,,,
1.9061514e-05,0.04567635,,,
1.887617e-05,0.042596985,,,
2.0204117e-05,0.03784314,,,
2.0167958e-05,0.046542253,,,
2.0187144e-05,0.04501046,,,
2.0408772e-05,0.033257354,,,
,,0.72,0.2,0.0
1.7920072e-05,0.043006886,,,
2.0620313e-05,0.035599455,,,
1.9720625e-05,0.039533306,,,
2.1307276e-05,0.03528512,,,
1.8868046e-05,0.03874935,,,
1.7188406e-05,0.04586007,,,
1.7087017e-05,0.048680615,,,
1.8921628e-05,0.04064208,,,
1.6754371e-05,0.04265257,,,
1.93553e-05,0.046498533,,,
1.822361e-05,0.037974797,,,
2.0728454e-05,0.044195987,,,
1.889735e-05,0.035132986,,,
1.9809493e-05,0.034218702,,,
2.1521e-05,0.03238235,,,
1.9495146e-05,0.03750032,,,
,,0.82,0.14,0.0
2.011458e-05,0.03680452,,,
1.926496e-05,0.036947403,,,
1.763741e-05,0.042107496,,,
1.7137509e-05,0.040090047,,,
1.7858867e-05,0.04098822,,,
1.8643006e-05,0.051109113,,,
2.057234e-05,0.040886685,,,
1.807496e-05,0.038104504,,,
2.0591502e-05,0.036836017,,,
2.0079811e-05,0.031562172,,,
2.0399704e-05,0.04369192,,,
1.8523406e-05,0.043241553,,,
1.9953144e-05,0.036998738,,,
1.9587127e-05,0.039653085,,,
1.6750711e-05,0.040156785,,,
1.8916428e-05,0.039420057,,,
,,0.86,0.16,0.0
1.964742e-05,0.035987042,,,
1.763597e-05,0.03467938,,,
1.7822806e-05,0.036387023,,,
2.0073074e-05,0.03856752,,,
1.8080058e-05,0.035476733,,,
1.8440202e-05,0.031027643,,,
1.9870187e-05,0.043508813,,,
1.9516427e-05,0.03867597,,,
1.9034103e-05,0.031102758,,,
1.9247338e-05,0.03357358,,,
1.8712919e-05,0.034324307,,,
2.1720381e-05,0.04961901,,,
1.8327508e-05,0.036587164,,,
2.0156e-05,0.037149593,,,
2.1346843e-05,0.042832375,,,
1.7646771e-05,0.043443844,,,
,,0.78,0.22,0.0
1.7376666e-05,0.03536924,,,
2.1779266e-05,0.03649074,,,
1.734797e-05,0.032966852,,,
1.8062245e-05,0.03299267,,,
1.9096178e-05,0.039242513,,,
1.977698e-05,0.03603585,,,
1.9381423e-05,0.0317037,,,
1.9831736e-05,0.034919765,,,
2.1064632e-05,0.039940044,,,
1.768315e-05,0.038606964,,,
1.9480947e-05,0.035459116,,,
1.949502e-05,0.03453812,,,
1.7914685e-05,0.041144587,,,
1.759766e-05,0.036564004,,,
1.7451825e-05,0.040044576,,,
2.1141072e-05,0.034836616,,,
,,0.76,0.14,0.0
2.0526159e-05,0.034686144,,,
1.5925014e-05,0.03995054,,,
1.6719368e-05,0.03134005,,,
2.0020965e-05,0.033658687,,,
1.7377959e-05,0.030808993,,,
1.7761728e-05,0.030454738,,,
2.015044e-05,0.046610642,,,
1.9430167e-05,0.0536977,,,
1.7579401e-05,0.033420604,,,
1.8192457e-05,0.04035573,,,
1.8369896e-05,0.037478887,,,
1.9656685e-05,0.032655865,,,
1.7665569e-05,0.03578991,,,
1.730237e-05,0.035743326,,,
1.8953728e-05,0.039398417,,,
1.6110807e-05,0.032220002,,,
,,0.9,0.16,0.0
1.872683e-05,0.029112434,,,
2.0209423e-05,0.038923964,,,
1.7978928e-05,0.04145729,,,
1.9042933e-05,0.031237962,,,
1.9371646e-05,0.034873847,,,
1.758603e-05,0.040442366,,,
1.7943974e-05,0.036276627,,,
1.7524666e-05,0.03520372,,,
1.8084767e-05,0.052721858,,,
1.7367163e-05,0.038232844,,,
1.6919852e-05,0.033825435,,,
1.9441079e-05,0.034231,,,
1.9096953e-05,0.034953613,,,
1.8834433e-05,0.04260123,,,
1.738644e-05,0.036737166,,,
1.8542438e-05,0.034154877,,,
,,0.8,0.1,0.0
1.6588545e-05,0.037012406,,,
1.7946608e-05,0.04002696,,,
1.7705874e-05,0.030611048,,,
1.7641354e-05,0.026112657,,,
1.950773e-05,0.042133275,,,
1.7936982e-05,0.031838518,,,
1.9963885e-05,0.03628454,,,
1.754595e-05,0.03824161,,,
1.87071e-05,0.03496587,,,
1.7920742e-05,0.0333565,,,
1.8506695e-05,0.032221235,,,
1.7009395e-05,0.032582875,,,
1.7490845e-05,0.030025773,,,
1.8474491e-05,0.031670805,,,
2.0484767e-05,0.038668025,,,
1.6757653e-05,0.02949822,,,
,,0.9,0.2,0.0
1.712146e-05,0.03414546,,,
1.7586695e-05,0.03542686,,,
1.75183e-05,0.03293449,,,
1.7569115e-05,0.03390142,,,
1.7277867e-05,0.03975172,,,
